Submarket,YoY_Rent_Growth_Pct,Occupancy_Performance,Construction_Activity,Market_Tier
Greenspoint/Northborough/Aldine,7.3,Strong,Low,Affordable
Northline,7.0,Strong,Low,Affordable
I-69,6.6,Strong,Moderate,Mid-Tier
I-10 East/Woodforest/Channelview,5.9,Good,Low,Affordable
North Central Houston,4.2,Good,Moderate,Mid-Tier
Galleria/Uptown,2.3,Good,High,Luxury
Downtown/Montrose/River Oaks,2.3,Good,High,Luxury
Memorial/West University,N/A,Outperforming,Moderate,Luxury
Katy/Cinco Ranch/Waterside,N/A,Strong Absorption,Peak Supply,Luxury
The Woodlands,Negative,Declining,High,Luxury
Bear Creek/Copperfield,N/A,Strong Absorption,High,Mid-Tier
Spring/Tomball,N/A,Strong Absorption,High,Mid-Tier
Energy Corridor,N/A,Stable,Moderate,Mid-Tier
